Dinophyceae;Bay.of.Biscay;Black.Sea;English.Channel;Mediterranean.Sea;North.Sea;Subtropical.ocean
Bay of Biscay;0;0.938173454130847;0.87497104538359;0.804672833794989;0.927670261180023;0.818861390415376
Black Sea;0.938173454130847;0;0.901578438140029;0.890869330127625;0.791834766178996;0.962644200953342
English Channel;0.87497104538359;0.901578438140029;0;0.798497443157509;0.859471772489166;0.894607381909587
Mediterranean Sea;0.804672833794989;0.890869330127625;0.798497443157509;0;0.867745884222841;0.664604534857357
North Sea;0.927670261180023;0.791834766178996;0.859471772489166;0.867745884222841;0;0.954859723071374
Subtropical ocean;0.818861390415376;0.962644200953342;0.894607381909587;0.664604534857357;0.954859723071374;0
;;;;;;
Ciliophora;Bay.of.Biscay;Black.Sea;English.Channel;Mediterranean.Sea;North.Sea;Subtropical.ocean
Bay of Biscay;0;0.867381892806053;0.902947145619635;0.842217097011825;0.872886640938259;0.858727477402051
Black Sea;0.867381892806053;0;0.887898854315709;0.891501486515274;0.79049701022653;0.944252209613938
English Channel;0.902947145619635;0.887898854315709;0;0.777126046175384;0.803651192794572;0.923737512275255
Mediterranean Sea;0.842217097011825;0.891501486515274;0.777126046175384;0;0.828880954082161;0.729483694176171
North Sea;0.872886640938259;0.79049701022653;0.803651192794572;0.828880954082161;0;0.92877157288191
Subtropical ocean;0.858727477402051;0.944252209613938;0.923737512275255;0.729483694176171;0.92877157288191;0
;;;;;;
Radiolaria;Bay.of.Biscay;Black.Sea;English.Channel;Mediterranean.Sea;North.Sea;Subtropical.ocean
Bay of Biscay;0;0.97462797037596;0.870508797970726;0.942580875095232;0.914028700372153;0.98111749754938
Black Sea;0.97462797037596;0;0.958390416328276;0.990831276360653;0.983866226229662;0.991593478316324
English Channel;0.870508797970726;0.958390416328276;0;0.961150318767074;0.899296029993727;0.986294136252654
Mediterranean Sea;0.942580875095232;0.990831276360653;0.961150318767074;0;0.896220133271001;0.727417292423973
